Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,True Positives,False Positives,False Negatives
Random Forest,0.826530612244898,0.35714285714285715,0.10638297872340426,0.16393442622950818,0.7830131794297528,5,9,42
XGBoost,0.8469387755102041,0.5416666666666666,0.2765957446808511,0.3661971830985916,0.7799982771987252,13,11,34
